ID,city,name,price,address,bedroom,bathroom,garage,surface_area,building_area
27,Jakarta Barat,Hot Sale Rumah Mewah Puri Indah - Sangat Ekslusif,"Rp 27,5 Miliar","Puri Indah, Jakarta Barat",4 + 2,4 + 2,0,LT:,LB:
28,Jakarta Barat,Hot Rumah 4 Lantai Premium Jakarta Barat,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,1 + 2,LT:  144 m²,LB:  460 m²
29,Jakarta Barat,Jarang Ada! Rumah Kavling Polri Blok Favorite Jelambar,"Rp 2,99 MiliarRp 3.5 MTurun Rp 510 Jutaan","Jelambar, Jakarta Barat",4,4,1,LT:  74 m²,LB:  142 m²
30,Jakarta Barat,Full Furnish Modern House 5.5X19 Strategis Duri Kepa Jakarta Barat,"Rp 2,8 Miliar","Duri Kepa, Jakarta Barat",5,4,1,LT:  105 m²,LB:  225 m²
31,Jakarta Barat,Rumah 7.5X15.7 Hadap Timur Komplek Favorite Kavling Polri Jelambar Jakarta Barat,"Rp 3,35 Miliar","Jelambar, Jakarta Barat",6,3,1,LT:  117 m²,LB:  300 m²
32,Jakarta Barat,Gak Masuk Akal! Rumah Mewah Puri Indah Ini Sudah Ada Lift & Pool di Dalam,Rp 12 Miliar,"Puri Indah, Jakarta Barat",4,3,2 + 2,LT:  140 m²,LB:  400 m²
33,Jakarta Barat,Harga Masih Masuk! Rumah Cantik Semi Furnish di Cluster Favorit Green Lake City,"Rp 1,35 Miliar","Green Lake City, Jakarta Barat",2,2,1,LT:  48 m²,LB:  64 m²
34,Jakarta Barat,Dijual Rumah Milenial Brand New Permata Buana Lebar 8 4 Lantai Sudah tersedia Kitchenset,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,0,LT:,LB:
35,Jakarta Barat,Rumah 3 Lantai Dijual Permata Buana Ada Taman Belakang - LT 250M2,"Rp 9,9 Miliar","Permata Buana, Jakarta Barat",4 + 2,4 + 1,2 + 2,LT:  250 m²,LB:  500 m²
36,Jakarta Barat,Nego Sampai Deal.!! Rumah Hook Siap Huni SHM Furnish Citra Garden,"Rp 11,5 Miliar","Citra Garden, Jakarta Barat",5 + 1,4 + 1,2 + 8,LT:  320 m²,LB:  283 m²
37,Jakarta Barat,"Rumah Modern 3 Lantai di Puri, Lokasi Super Strategis 4 Akses Tol","Rp 3,8 Miliar","Meruya, Jakarta Barat",6 + 1,5 + 1,2 + 2,LT:  96 m²,LB:  187 m²
38,Jakarta Barat,"Rumah 3 Kamar Tidur Dekat Joglo,Meruya dan Karang Tengah Free PPN","Rp 1,8 Miliar","Villa Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
39,Jakarta Barat,Rumah Brand New Puri Indah Kembangan Desain Modern Luxury - 140M2,Rp 12 Miliar,"Puri Indah, Jakarta Barat",3 + 1,3 + 3,2 + 2,LT:  140 m²,LB:  400 m²
40,Jakarta Barat,Rumah 2 Lantai Mewah Dekat Tol Meruya Puri Jakarta Barat Free PPN,"Rp 1,9 Miliar","Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
41,Jakarta Selatan,"For Sale Rumah Harga Murah Lokasi Strategis Pinggir Jalan Raya bisa Cocok untuk Townhhouse, Perkantoran, Cafe, Restaurant, Kos Kosan, Hotel, Apotek atau Ruko atau Tempat Tinggal atau Multifungsi Harga Nego Sampai Deal Area Cipete Jakarta Selatan","Rp 28,9 Miliar","Cipete, Jakarta Selatan",4,2,7,LT:  916 m²,LB:  450 m²
42,Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Kebayoran Baru Jakarta Selatan,Rp 55 Miliar,"Cipete, Jakarta Selatan",7,7,11,LT:  1800 m²,LB:  1600 m²
43,Jakarta Selatan,For Sale Rumah Mewah Baru Lokasi Tenang dan Asri Bangunan Lokasi Dekat Jis dan Bukit Golf dan Mall Pondok Indah Jakarta Selatan,Rp 40 Miliar,"Pondok Indah, Jakarta Selatan",5,5,5,LT:  627 m²,LB:  1050 m²
44,Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Hotel atau Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Fatmawati Dekat Kebayoran Baru Jakarta,Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",7 + 1,7 + 3,10,LT:  1800 m²,LB:  1600 m²
45,Jakarta Selatan,For Sale Rumah Murah Dekat MRT dan Fatmawati dan Cipete Raya dan Sekolah Internasional dan Kemang dan Kebayoran Baru Area Cipete Jakarta Selatan,"Rp 9,5 Miliar","Cipete, Jakarta Selatan",5,3,4,LT:  463 m²,LB:  310 m²
46,Jakarta Selatan,"For Sale Rumah atau Kantor Cocok Dibangun Hotel, atau Restoran Mewah atau Gedung atau Ruang Usaha Cafe atau Kantor atau Klinik atau Lainnya Area Prime Dekat Blok M dan Mabes dan Wijaya Area Kebayoran Baru Jakarta Selatan",Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",6,5,12,LT:  1165 m²,LB:  452 m²
47,Jakarta Selatan,For Sale Cepat Rumah Murah Tanah Luas Harga Murah Lokasi Strategis Area Pejaten Barat Kemang Jakarta Selatan,"Rp 7,5 Miliar","Pejaten, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
48,Jakarta Selatan,For Salerumah Modern Dalam Townhouse Lokasi Dekat Sekolah Internasional dan Kemang Raya Area Kemang Jakarta Selatan,Rp 16 Miliar,"Kemang, Jakarta Selatan",4,3,4,LT:  412 m²,LB:  400 m²
49,Jakarta Selatan,For Sale Rumah Lama Tanah Luas bisa Bangun Rumah atau Mini Townhouse atau Tempat Tinggal Dekat Sekolah Internasional dan Dekat Kuliner dan MRT Cipete Harga Murah Area Cipete Jakarta Selatan,Rp 22 Miliar,"Cipete, Jakarta Selatan",5,3,4,LT:  931 m²,LB:  325 m²
50,Jakarta Selatan,For Sale Rumah Mewah Cantik Dalam Compound Lokasi Nyaman dan Asri Area Pejaten Dekat Kemang Jakarta Selatan,Rp 32 Miliar,"Pejaten, Jakarta Selatan",5,4,5,LT:  1230 m²,LB:  650 m²
51,Jakarta Selatan,For Sale House Mewah Modern Lokasi Dekat Blok M dan Mabes dan Perkantoran Area Kebayoran Baru Jakarta Selatan,Rp 32 Miliar,"Kebayoran Baru, Jakarta Selatan",5,4,4,LT:  346 m²,LB:  400 m²
52,Jakarta Selatan,For Sale Rumah Murah Harga Murah Lokasi Strategis Kemang Raya dan Ampera dan Pejaten dan Cocok untuk Investasi Area Pejaten Kemang Jakarta Selatan,"Rp 7,5 Miliar","Kemang, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
53,Jakarta Selatan,"Rumah Lux Lokasi Premier Depan Taman Pondok Indah, Jakarta Selatan",Rp 53 Miliar,"Pondok Indah, Jakarta Selatan",5 + 4,5 + 2,10 + 10,LT:  1100 m²,LB:  1200 m²
54,Jakarta Selatan,Rumah Mewah Modern Tropical Style Kebayoran Baru,Rp 45 Miliar,"Kebayoran Baru, Jakarta Selatan",5 + 1,4 + 1,2 + 3,LT:  888 m²,LB:  800 m²
55,Jakarta Selatan,Dijual Murah Se NJOP di Kemang Timur Raya. Luas 1344M2,Rp 30 Miliar,"Kemang, Jakarta Selatan",3,4,2 + 12,LT:  1344 m²,LB:  500 m²
56,Jakarta Selatan,Rumah di Jual Cepat Lebak Bulus,"Rp 5,8 Miliar","Lebak Bulus, Jakarta Selatan",4 + 1,3 + 1,1 + 1,LT:  305 m²,LB:  250 m²
57,Jakarta Selatan,Rumah Siap Huni Dikawasan Elit Bintaro. Harga 1 M-An,"Rp 1,3 Miliar","Bintaro, Jakarta Selatan",3,2,1,LT:  63 m²,LB:  69 m²
58,Jakarta Selatan,Dijual Rumah 3 Bedroom di Cilandak Luas dan Strategis Dekat Mall Toll Rs Kampus,"Rp 1,9 Miliar","Cilandak, Jakarta Selatan",3,2,1 + 1,LT:  74 m²,LB:  60 m²
59,Jakarta Selatan,Hot Jual Murah Rumah Mewah 2 Lantai di Pondok Indah,Rp 26 Miliar,"Pondok Indah, Jakarta Selatan",7 + 1,5 + 1,3 + 3,LT:  425 m²,LB:  750 m²
60,Jakarta Selatan,Dijual Murah Rumah di Keluarahan Selong (Kebayorab Baru Area Senopati) Luas 1050M2 Dalam Portal Hanya Rp 70 Milyar Nego,Rp 79 Miliar,"Kebayoran Baru, Jakarta Selatan",6,4,3 + 6,LT:  1050 m²,LB:  600 m²
61,Jakarta Utara,"Dijual Rumah Cantik di Lokasi Premier Danau Sunter, Full Furnish","Rp 8,25 MiliarRp 10.5 MTurun Rp 2.2 Miliaran","Sunter, Jakarta Utara",4 + 1,5 + 1,1 + 2,LT:  300 m²,LB:  500 m²
62,Jakarta Utara,Cash / KPR - Rumah Pik2 10X20 [4+1 Kamar Tidur],"Rp 7,2 Miliar","Pantai Indah Kapuk 2, Jakarta Utara",4 + 1,4 + 1,2,LT:  200 m²,LB:  224 m²
63,Jakarta Utara,Turun Harga - Rumah Bgm 12X25 Pik 1 Full Furnish Interior Mewah - Unit Langka Segera Terjual!,"Rp 11,8 MiliarRp 12.9 MTurun Rp 1.1 Miliaran","Pantai Indah Kapuk, Jakarta Utara",7 + 2,7 + 2,2 + 2,LT:  300 m²,LB:  555 m²
64,Jakarta Utara,Rumah Sunter SHM,Rp 5 MiliarRp 5.5 MTurun Rp 500 Jutaan,"Sunter, Jakarta Utara",3,3,0,LT:,LB:
65,Jakarta Utara,Rumah Sunter Siap Huni dengan Kolam Renang,"Rp 8,5 Miliar","Sunter, Jakarta Utara",4,5,0,LT:,LB:
66,Jakarta Utara,Rumah Sunter Hadap Timur,"Rp 5,5 Miliar","Sunter, Jakarta Utara",5,5,0,LT:,LB:
