Jakarta Timur,Rumah Mewah Luas Modern Baru 4BR Kota Wisata Cibubur Strategis Free DP,"Rp 3,4 Miliar","Cibubur, Jakarta Timur",4,4,1 + 1,LT:  120 m²,LB:  149 m²
Jakarta Timur,Dijual Rumah Baru Nan Modern 3 Lantai di Jaktim Dekat Sekolah dan Akses Strategis,"Rp 5,4 Miliar","Cipayung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
Jakarta Timur,Hunian Nyaman Mewah Dijual di Metland Menteng Cakung Jakarta Timur 4 BR,"Rp 3,4 Miliar","Cakung, Jakarta Timur",3,2,2 + 2,LT:  105 m²,LB:  108 m²
Jakarta Timur,Rumah Baru Bagus Mewah Luas Dijual di Jaktim 3 Lantai Lokasi Strategis Bebas Banjir,"Rp 5,4 Miliar","Cakung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
Jakarta Timur,Rumah Mewah Modern dan Bebas Bnjir di Cluster Zebrina Jgc - Hunian Eksklusif di Jakarta Timur,"Rp 2,5 Miliar","Jakarta Garden City, Jakarta Timur",4,4,1 + 1,LT:  148 m²,LB:  156 m²
Jakarta Timur,Jual Rumah Premium 3 Lantai Paling Dicari di Jakarta Harga Dijamin Worth It!,"Rp 5,4 Miliar","Rawamangun, Jakarta Timur",5,5,1 + 1,LT:  105 m²,LB:  180 m²
Jakarta Timur,Rumah di Jual Deket Perkantoran Rawamangun,Rp 1 Miliar,"Rawamangun, Jakarta Timur",3 + 1,3 + 1,1 + 1,LT:  46 m²,LB:  73 m²
Jakarta Timur,For Sale Luxury And Elite House In The Heart Of East Jakarta With Easy Access,"Rp 5,4 Miliar","Cakung, Jakarta Timur",5,5,2 + 2,LT:  105 m²,LB:  180 m²
Jakarta Barat,Rumah Meruya Utara 10X25 Boulevard Siap Huni,"Rp 3,9 MiliarRp 4 MTurun Rp 90 Jutaan","Meruya, Jakarta Barat",5 + 1,4 + 1,2 + 1,LT:  250 m²,LB:  400 m²
Jakarta Barat,Riviera @ Puri - 10X18 - Furnished - Unit Ready.,"Rp 6,3 MiliarRp 6.5 MTurun Rp 200 Jutaan","Metland Puri, Jakarta Barat",4,3,2,LT:  180 m²,LB:  211 m²
Jakarta Barat,"Ana Rumah Nyaman 2.25Lt Luas 8X15m Model American Classic di Komplek Meruya, Kembangan, Jakarta Barat - * Good- Deal !!*","Rp 3,2 Miliar","Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  120 m²,LB:  198 m²
Jakarta Barat,"Ana Rumah Murah Luas 10X15m Harga 1M-An, Rp. 12Jt-An Perm2 di Duri Kepa, Kebon Jeruk - * Good- Deal !!*","Rp 1,9 Miliar","Duri Kepa, Jakarta Barat",3 + 1,2 + 1,2 + 2,LT:  150 m²,LB:  138 m²
Jakarta Barat,Ana Rumah Full Furnish di Kav Polri Luas 4.65X16m 3.5Lt Lingkungan Jelambar - * Good- Deal !!*,"Rp 2,99 MiliarRp 3.5 MTurun Rp 510 Jutaan","Jelambar, Jakarta Barat",3 + 1,4 + 1,1 + 1,LT:  74 m²,LB:  188 m²
Jakarta Barat,Ana Rumah Bagus 4Lt Luas 4X11m Full Furnish Design Cantik dan Interior Modern di Jelambar - * Good- Deal !!*,"Rp 2,2 Miliar","Jelambar, Jakarta Barat",3 + 1,3 + 1,1 + 1,LT:  44 m²,LB:  118 m²
Jakarta Barat,Hot Sale Rumah Mewah Puri Indah - Sangat Ekslusif,"Rp 27,5 Miliar","Puri Indah, Jakarta Barat",4 + 2,4 + 2,0,LT:,LB:
Jakarta Barat,Hot Rumah 4 Lantai Premium Jakarta Barat,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,1 + 2,LT:  144 m²,LB:  460 m²
Jakarta Barat,Jarang Ada! Rumah Kavling Polri Blok Favorite Jelambar,"Rp 2,99 MiliarRp 3.5 MTurun Rp 510 Jutaan","Jelambar, Jakarta Barat",4,4,1,LT:  74 m²,LB:  142 m²
Jakarta Barat,Full Furnish Modern House 5.5X19 Strategis Duri Kepa Jakarta Barat,"Rp 2,8 Miliar","Duri Kepa, Jakarta Barat",5,4,1,LT:  105 m²,LB:  225 m²
Jakarta Barat,Rumah 7.5X15.7 Hadap Timur Komplek Favorite Kavling Polri Jelambar Jakarta Barat,"Rp 3,35 Miliar","Jelambar, Jakarta Barat",6,3,1,LT:  117 m²,LB:  300 m²
Jakarta Barat,Gak Masuk Akal! Rumah Mewah Puri Indah Ini Sudah Ada Lift & Pool di Dalam,Rp 12 Miliar,"Puri Indah, Jakarta Barat",4,3,2 + 2,LT:  140 m²,LB:  400 m²
Jakarta Barat,Harga Masih Masuk! Rumah Cantik Semi Furnish di Cluster Favorit Green Lake City,"Rp 1,35 Miliar","Green Lake City, Jakarta Barat",2,2,1,LT:  48 m²,LB:  64 m²
Jakarta Barat,Dijual Rumah Milenial Brand New Permata Buana Lebar 8 4 Lantai Sudah tersedia Kitchenset,Rp 9 Miliar,"Permata Buana, Jakarta Barat",5 + 1,4 + 1,0,LT:,LB:
Jakarta Barat,Rumah 3 Lantai Dijual Permata Buana Ada Taman Belakang - LT 250M2,"Rp 9,9 Miliar","Permata Buana, Jakarta Barat",4 + 2,4 + 1,2 + 2,LT:  250 m²,LB:  500 m²
Jakarta Barat,Nego Sampai Deal.!! Rumah Hook Siap Huni SHM Furnish Citra Garden,"Rp 11,5 Miliar","Citra Garden, Jakarta Barat",5 + 1,4 + 1,2 + 8,LT:  320 m²,LB:  283 m²
Jakarta Barat,"Rumah Modern 3 Lantai di Puri, Lokasi Super Strategis 4 Akses Tol","Rp 3,8 Miliar","Meruya, Jakarta Barat",6 + 1,5 + 1,2 + 2,LT:  96 m²,LB:  187 m²
Jakarta Barat,"Rumah 3 Kamar Tidur Dekat Joglo,Meruya dan Karang Tengah Free PPN","Rp 1,8 Miliar","Villa Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
Jakarta Barat,Rumah Brand New Puri Indah Kembangan Desain Modern Luxury - 140M2,Rp 12 Miliar,"Puri Indah, Jakarta Barat",3 + 1,3 + 3,2 + 2,LT:  140 m²,LB:  400 m²
Jakarta Barat,Rumah 2 Lantai Mewah Dekat Tol Meruya Puri Jakarta Barat Free PPN,"Rp 1,9 Miliar","Meruya, Jakarta Barat",3 + 1,3 + 1,2 + 2,LT:  71 m²,LB:  99 m²
Jakarta Selatan,"Rumah Lux Lokasi Premier Depan Taman Pondok Indah, Jakarta Selatan",Rp 53 Miliar,"Pondok Indah, Jakarta Selatan",5 + 4,5 + 2,10 + 10,LT:  1100 m²,LB:  1200 m²
Jakarta Selatan,Rumah Mewah Modern Tropical Style Kebayoran Baru,Rp 45 Miliar,"Kebayoran Baru, Jakarta Selatan",5 + 1,4 + 1,2 + 3,LT:  888 m²,LB:  800 m²
Jakarta Selatan,Dijual Murah Se NJOP di Kemang Timur Raya. Luas 1344M2,Rp 30 Miliar,"Kemang, Jakarta Selatan",3,4,2 + 12,LT:  1344 m²,LB:  500 m²
Jakarta Selatan,Rumah di Jual Cepat Lebak Bulus,"Rp 5,8 Miliar","Lebak Bulus, Jakarta Selatan",4 + 1,3 + 1,1 + 1,LT:  305 m²,LB:  250 m²
Jakarta Selatan,Rumah Siap Huni Dikawasan Elit Bintaro. Harga 1 M-An,"Rp 1,3 Miliar","Bintaro, Jakarta Selatan",3,2,1,LT:  63 m²,LB:  69 m²
Jakarta Selatan,Dijual Rumah 3 Bedroom di Cilandak Luas dan Strategis Dekat Mall Toll Rs Kampus,"Rp 1,9 Miliar","Cilandak, Jakarta Selatan",3,2,1 + 1,LT:  74 m²,LB:  60 m²
Jakarta Selatan,For Sale Rumah Mewah Cantik Dalam Compound Lokasi Nyaman dan Asri Area Pejaten Dekat Kemang Jakarta Selatan,Rp 32 Miliar,"Pejaten, Jakarta Selatan",5,4,5,LT:  1230 m²,LB:  650 m²
Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Kebayoran Baru Jakarta Selatan,Rp 55 Miliar,"Cipete, Jakarta Selatan",7,7,11,LT:  1800 m²,LB:  1600 m²
Jakarta Selatan,"For Sale Rumah Harga Murah Lokasi Strategis Pinggir Jalan Raya bisa Cocok untuk Townhhouse, Perkantoran, Cafe, Restaurant, Kos Kosan, Hotel, Apotek atau Ruko atau Tempat Tinggal atau Multifungsi Harga Nego Sampai Deal Area Cipete Jakarta Selatan","Rp 28,9 Miliar","Cipete, Jakarta Selatan",4,2,7,LT:  916 m²,LB:  450 m²
Jakarta Selatan,For Sale Rumah Mewah Baru Lokasi Tenang dan Asri Bangunan Lokasi Dekat Jis dan Bukit Golf dan Mall Pondok Indah Jakarta Selatan,Rp 40 Miliar,"Pondok Indah, Jakarta Selatan",5,5,5,LT:  627 m²,LB:  1050 m²
Jakarta Selatan,"For Sale Rumah atau Kantor Cocok Dibangun Hotel, atau Restoran Mewah atau Gedung atau Ruang Usaha Cafe atau Kantor atau Klinik atau Lainnya Area Prime Dekat Blok M dan Mabes dan Wijaya Area Kebayoran Baru Jakarta Selatan",Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",6,5,12,LT:  1165 m²,LB:  452 m²
Jakarta Selatan,Hot Jual Murah Rumah Mewah 2 Lantai di Pondok Indah,Rp 26 Miliar,"Pondok Indah, Jakarta Selatan",7 + 1,5 + 1,3 + 3,LT:  425 m²,LB:  750 m²
Jakarta Selatan,Dijual Murah Rumah di Keluarahan Selong (Kebayorab Baru Area Senopati) Luas 1050M2 Dalam Portal Hanya Rp 70 Milyar Nego,Rp 79 Miliar,"Kebayoran Baru, Jakarta Selatan",6,4,3 + 6,LT:  1050 m²,LB:  600 m²
Jakarta Selatan,Jual Rumah 2 Lantai 3 KT Kondisi Baru Dekat MRT Lebak Bulus,"Rp 1,4 MiliarRp 1.5 MTurun Rp 100 Jutaan","Lebak Bulus, Jakarta Selatan",3,2,1 + 1,LT:  47 m²,LB:  50 m²
Jakarta Selatan,Rumah Besar dan Mewah Siap Huni Dalam Kompleks Hook Private di Jakarta Selatan Rumah Bagus SHM di Lebak Bulus,Rp 18 Miliar,"Lebak Bulus, Jakarta Selatan",5,3,2 + 5,LT:  999 m²,LB:  600 m²
Jakarta Selatan,"Luxurious Brand New House Full Furnished Desain American Classic di Kemang, Jakarta Selatan",Rp 38 Miliar,"Kemang, Jakarta Selatan",6,6,7 + 3,LT:  517 m²,LB:  760 m²
Jakarta Selatan,Rumah Pondok Indah Nego Tipis Lokasi Bagus,Rp 24 Miliar,"Pondok Indah, Jakarta Selatan",4 + 2,4 + 1,2 + 2,LT:  425 m²,LB:  500 m²
Jakarta Selatan,Rumah Tropical Minimalis di Pondok Indah,"Rp 19,8 Miliar","Pondok Indah, Jakarta Selatan",3 + 1,3 + 2,2 + 2,LT:  410 m²,LB:  350 m²
Jakarta Selatan,"2 Lantai,","Rp 1,3 Miliar","Lebak Bulus, Jakarta Selatan",3,3,2,LT:  60 m²,LB:  80 m²
Jakarta Selatan,"Di Cilandak,","Rp 1,3 Miliar","Cilandak, Jakarta Selatan",3,3,2 + 1,LT:  61 m²,LB:  80 m²
